gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocks,blocksAgainst,foulsPersonal,foulsDrawn
0021500057,1610612761,Toronto,Raptors,TOR,raptors,202335,Patrick,Patterson,P. Patterson,patrick-patterson,,,54,16:41,0,0,0,0,5,2,8,14,0,0,1,0
0021500057,1610612761,Toronto,Raptors,TOR,raptors,1626181,Norman,Powell,N. Powell,norman-powell,,,24,3:05,0,0,0,0,5,0,4,2,0,0,1,0
0021500057,1610612761,Toronto,Raptors,TOR,raptors,203461,Anthony,Bennett,A. Bennett,anthony-bennett,,DNP - Coach's Decision,15,,0,0,0,0,0,0,0,0,0,0,0,0
0021500057,1610612761,Toronto,Raptors,TOR,raptors,201949,James,Johnson,J. Johnson,james-johnson,,DNP - Coach's Decision,3,,0,0,0,0,0,0,0,0,0,0,0,0
0021500057,1610612761,Toronto,Raptors,TOR,raptors,1626153,Delon,Wright,D. Wright,delon-wright,,DNP - Coach's Decision,55,,0,0,0,0,0,0,0,0,0,0,0,0
0021500057,1610612742,Dallas,Mavericks,DAL,mavericks,202718,Chandler,Parsons,C. Parsons,chandler-parsons,F,,25,14:17,0,0,1,2,2,2,2,18,0,0,1,2
0021500057,1610612742,Dallas,Mavericks,DAL,mavericks,1717,Dirk,Nowitzki,D. Nowitzki,dirk-nowitzki,F,,41,35:11,6,3,0,4,9,9,4,34,1,0,1,5
0021500057,1610612742,Dallas,Mavericks,DAL,mavericks,2585,Zaza,Pachulia,Z. Pachulia,zaza-pachulia,C,,27,28:07,0,0,0,2,13,11,4,36,0,0,5,3
0021500057,1610612742,Dallas,Mavericks,DAL,mavericks,202083,Wesley,Matthews,W. Matthews,wesley-matthews,G,,23,27:36,0,3,1,2,13,7,7,30,0,0,5,4
0021500057,1610612742,Dallas,Mavericks,DAL,mavericks,101114,Deron,Williams,D. Williams,deron-williams,G,,8,36:13,2,2,2,0,12,9,4,34,0,1,4,2
0021500057,1610612742,Dallas,Mavericks,DAL,mavericks,101109,Raymond,Felton,R. Felton,raymond-felton,,,2,19:05,0,0,0,4,9,4,3,16,0,0,2,0
0021500057,1610612742,Dallas,Mavericks,DAL,mavericks,203939,Dwight,Powell,D. Powell,dwight-powell,,,7,25:46,2,2,0,2,9,2,5,14,0,3,2,2
0021500057,1610612742,Dallas,Mavericks,DAL,mavericks,2734,Devin,Harris,D. Harris,devin-harris,,,34,24:17,0,0,7,6,12,7,5,16,2,1,2,7
0021500057,1610612742,Dallas,Mavericks,DAL,mavericks,101111,Charlie,Villanueva,C. Villanueva,charlie-villanueva,,,3,4:55,0,2,0,4,5,0,5,4,0,0,2,0
0021500057,1610612742,Dallas,Mavericks,DAL,mavericks,200826,J.J.,Barea,J. Barea,jj-barea,,,5,23:12,0,0,2,2,6,4,6,18,0,1,1,1
0021500057,1610612742,Dallas,Mavericks,DAL,mavericks,1626257,Salah,Mejri,S. Mejri,salah-mejri,,,50,0:42,0,0,0,0,0,0,0,0,0,0,0,0
