gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,usagePercentage,percentageFieldGoalsMade,percentageFieldGoalsAttempted,percentageThreePointersMade,percentageThreePointersAttempted,percentageFreeThrowsMade,percentageFreeThrowsAttempted,percentageReboundsOffensive,percentageReboundsDefensive,percentageReboundsTotal,percentageAssists,percentageTurnovers,percentageSteals,percentageBlocks,percentageBlocksAllowed,percentagePersonalFouls,percentagePersonalFoulsDrawn,percentagePoints
0021500001,1610612765,Detroit,Pistons,DET,pistons,1626169,Stanley,Johnson,S. Johnson,stanley-johnson,,,,24:29,0.18,0.176,0.222,0.25,0.188,0.0,0.0,0.333,0.067,0.167,0.273,0.1,0.0,0.0,0.5,0.125,0.091,0.159
0021500001,1610612765,Detroit,Pistons,DET,pistons,203382,Aron,Baynes,A. Baynes,aron-baynes,,,,10:51,0.24,0.5,0.263,0.0,0.0,0.0,0.0,0.5,0.571,0.556,0.0,0.167,0.0,0.0,0.0,0.333,0.2,0.429
0021500001,1610612765,Detroit,Pistons,DET,pistons,2581,Steve,Blake,S. Blake,steve-blake,,,,15:53,0.225,0.1,0.194,0.333,0.5,0.0,0.0,0.0,0.0,0.0,0.571,0.375,1.0,0.0,0.0,0.143,0.143,0.12
0021500001,1610612765,Detroit,Pistons,DET,pistons,201975,Jodie,Meeks,J. Meeks,jodie-meeks,,,,10:57,0.185,0.143,0.2,0.0,0.0,0.0,0.0,0.5,0.125,0.2,0.0,0.167,0.0,0.0,1.0,0.143,0.0,0.118
0021500001,1610612765,Detroit,Pistons,DET,pistons,201202,Joel,Anthony,J. Anthony,joel-anthony,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0021500001,1610612765,Detroit,Pistons,DET,pistons,203493,Reggie,Bullock Jr.,R. Bullock Jr.,reggie-bullock-jr,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0021500001,1610612765,Detroit,Pistons,DET,pistons,203915,Spencer,Dinwiddie,S. Dinwiddie,spencer-dinwiddie,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0021500001,1610612765,Detroit,Pistons,DET,pistons,1626199,Darrun,Hilliard,D. Hilliard,darrun-hilliard,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0021500001,1610612737,Atlanta,Hawks,ATL,hawks,203145,Kent,Bazemore,K. Bazemore,kent-bazemore,F,,,20:50,0.159,0.0,0.097,0.0,0.143,0.0,0.0,0.0,0.467,0.467,0.2,0.4,0.0,0.0,0.0,0.375,0.0,0.0
0021500001,1610612737,Atlanta,Hawks,ATL,hawks,200794,Paul,Millsap,P. Millsap,paul-millsap,F,,,36:00,0.241,0.269,0.238,0.333,0.261,0.333,0.364,0.143,0.292,0.258,0.176,0.182,0.0,0.0,0.333,0.211,0.5,0.284
0021500001,1610612737,Atlanta,Hawks,ATL,hawks,201143,Al,Horford,A. Horford,al-horford,C,,,30:14,0.2,0.273,0.224,0.167,0.188,0.182,0.231,0.5,0.158,0.19,0.308,0.1,0.333,1.0,0.0,0.056,0.333,0.246
