gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints
0021500029,1610612750,Minnesota,Timberwolves,MIN,timberwolves,2419,Tayshaun,Prince,T. Prince,tayshaun-prince,F,,,29:20,1,3,0.333,0,2,0.0,0,0,0.0,0,3,3,2,2,0,0,2,2,22.0
0021500029,1610612750,Minnesota,Timberwolves,MIN,timberwolves,708,Kevin,Garnett,K. Garnett,kevin-garnett,F,,,22:19,1,3,0.333,0,0,0.0,2,2,1.0,1,5,6,0,2,0,0,2,4,16.0
0021500029,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1626157,Karl-Anthony,Towns,K. Towns,karl-anthony-towns,C,,,33:12,11,19,0.579,0,0,0.0,6,7,0.857,3,11,14,2,0,4,1,3,28,15.0
0021500029,1610612750,Minnesota,Timberwolves,MIN,timberwolves,203952,Andrew,Wiggins,A. Wiggins,andrew-wiggins,G,,,30:41,5,13,0.385,0,1,0.0,8,10,0.8,2,2,4,1,0,1,4,2,18,14.0
0021500029,1610612750,Minnesota,Timberwolves,MIN,timberwolves,201937,Ricky,Rubio,R. Rubio,ricky-rubio,G,,,30:24,2,8,0.25,0,2,0.0,8,9,0.889,1,4,5,8,1,0,2,3,12,21.0
0021500029,1610612750,Minnesota,Timberwolves,MIN,timberwolves,202357,Nemanja,Bjelica,N. Bjelica,nemanja-bjelica,G,,,25:41,1,2,0.5,1,1,1.0,0,3,0.0,0,8,8,1,1,0,2,4,3,1.0
0021500029,1610612750,Minnesota,Timberwolves,MIN,timberwolves,2755,Kevin,Martin,K. Martin,kevin-martin,G,,,21:20,4,9,0.444,1,2,0.5,5,6,0.833,0,3,3,1,1,0,2,1,14,-1.0
0021500029,1610612750,Minnesota,Timberwolves,MIN,timberwolves,203498,Shabazz,Muhammad,S. Muhammad,shabazz-muhammad,G,,,16:11,1,5,0.2,0,2,0.0,0,0,0.0,0,1,1,0,0,0,1,3,2,1.0
0021500029,1610612750,Minnesota,Timberwolves,MIN,timberwolves,203476,Gorgui,Dieng,G. Dieng,gorgui-dieng,F,,,13:16,1,3,0.333,0,0,0.0,0,0,0.0,0,1,1,0,0,1,1,1,2,0.0
0021500029,1610612750,Minnesota,Timberwolves,MIN,timberwolves,203897,Zach,LaVine,Z. LaVine,zach-lavine,F,,,17:36,3,6,0.5,0,1,0.0,4,4,1.0,0,4,4,3,0,0,4,3,10,-4.0
0021500029,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1889,Andre,Miller,A. Miller,andre-miller,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
0021500029,1610612750,Minnesota,Timberwolves,MIN,timberwolves,203940,Adreian,Payne,A. Payne,adreian-payne,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
0021500029,1610612750,Minnesota,Timberwolves,MIN,timberwolves,204014,Damjan,Rudez,D. Rudez,damjan-rudez,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
0021500029,1610612743,Denver,Nuggets,DEN,nuggets,201568,Danilo,Gallinari,D. Gallinari,danilo-gallinari,G,,,33:23,4,13,0.308,0,3,0.0,2,2,1.0,0,2,2,1,0,0,1,4,10,-25.0
0021500029,1610612743,Denver,Nuggets,DEN,nuggets,202702,Kenneth,Faried,K. Faried,kenneth-faried,F,,,26:47,3,10,0.3,0,0,0.0,3,4,0.75,6,9,15,1,1,0,2,1,9,-24.0
0021500029,1610612743,Denver,Nuggets,DEN,nuggets,203530,Joffrey,Lauvergne,J. Lauvergne,joffrey-lauvergne,C,,,16:15,4,7,0.571,0,1,0.0,2,2,1.0,3,2,5,2,0,0,0,3,10,-5.0
