gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0022000028,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1629006,Josh,Okogie,J. Okogie,josh-okogie,F,,,31:33,102.9,102.9,107.2,107.2,-4.3,-4.3,0.077,2.0,18.2,0.079,0.086,0.082,9.1,0.5,0.5,0.115,0.115,104.22,104.22,86.85,68.0,0.066
0022000028,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1627774,Jake,Layman,J. Layman,jake-layman,F,,,13:36,83.9,83.9,86.7,86.7,-2.8,-2.8,0.091,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.65,107.65,89.71,31.0,0.0
0022000028,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1626157,Karl-Anthony,Towns,K. Towns,karl-anthony-towns,C,,,29:54,109.0,109.0,95.4,95.4,13.6,13.6,0.13,1.5,12.0,0.079,0.257,0.164,8.0,0.342,0.394,0.275,0.275,105.94,105.94,88.28,67.0,0.163
0022000028,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1627736,Malik,Beasley,M. Beasley,malik-beasley,G,,,38:42,112.8,112.8,97.7,97.7,15.1,15.1,0.0,0.0,0.0,0.042,0.089,0.065,10.0,0.441,0.491,0.198,0.198,106.68,106.68,88.9,86.0,0.068
0022000028,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1626156,D'Angelo,Russell,D. Russell,dangelo-russell,G,,,34:11,96.1,96.1,109.3,109.3,-13.3,-13.3,0.316,3.0,18.2,0.0,0.045,0.022,6.1,0.5,0.51,0.307,0.307,106.02,106.02,88.35,76.0,0.115
0022000028,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1629633,Jarrett,Culver,J. Culver,jarrett-culver,,,,19:45,116.3,116.3,91.1,91.1,25.2,25.2,0.0,0.0,0.0,0.115,0.1,0.107,0.0,0.929,0.888,0.157,0.157,106.98,106.98,89.15,43.0,0.233
0022000028,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1630162,Anthony,Edwards,A. Edwards,anthony-edwards,,,,22:20,120.4,120.4,110.4,110.4,10.0,10.0,0.071,0.0,7.7,0.0,0.031,0.019,0.0,0.75,0.75,0.218,0.218,104.24,104.24,86.87,49.0,0.203
0022000028,1610612750,Minnesota,Timberwolves,MIN,timberwolves,201937,Ricky,Rubio,R. Rubio,ricky-rubio,,,,26:42,122.6,122.6,114.8,114.8,7.8,7.8,0.24,6.0,37.5,0.0,0.114,0.062,6.3,0.438,0.507,0.143,0.143,110.56,110.56,92.13,62.0,0.095
0022000028,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1629675,Naz,Reid,N. Reid,naz-reid,,,,17:35,108.1,108.1,132.4,132.4,-24.3,-24.3,0.167,2.0,18.2,0.0,0.087,0.045,9.1,0.5,0.5,0.225,0.225,101.02,101.02,84.19,37.0,0.086
0022000028,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1627823,Juancho,Hernangomez,J. Hernangomez,juancho-hernangomez,,,,5:15,118.2,118.2,127.3,127.3,-9.1,-9.1,0.0,0.0,0.0,0.167,0.0,0.083,0.0,0.0,0.0,0.083,0.083,100.57,100.57,83.81,11.0,-0.088
