date,game_id,team,odds,prob,ev,stake,won,gain,bankroll
2022-12-02,22200335.0,utah jazz,1.55,0.7640933925921792,0.1843447585178779,21.591892768254876,1,11.875541022540183,1091.4701794352839
2022-12-03,22200338.0,los angeles clippers,2.19,0.5706110229747557,0.24963814031471498,21.829403588705677,0,-21.829403588705677,1069.6407758465782
2022-12-04,22200344.0,new orleans pelicans,1.72,0.6926032129477726,0.19127752627016892,21.392815516931563,1,15.402827172190724,1085.0436030187689
2022-12-04,22200350.0,sacramento kings,1.6,0.7324015437037295,0.17184246992596708,21.700872060375378,1,13.020523236225229,1098.064126254994
2022-12-05,22200355.0,boston celtics,1.91,0.6230462362167959,0.19001831117408008,21.961282525099882,1,19.98476709784089,1118.048893352835
2022-12-05,22200357.0,memphis grizzlies,2.5,0.6870678629364695,0.7176696573411738,22.3609778670567,1,33.54146680058505,1151.59036015342
2022-12-10,22200389.0,washington wizards,2.46,0.5552719346698501,0.36596895928783124,23.031807203068404,0,-23.031807203068404,1128.5585529503517
2022-12-10,22200391.0,dallas mavericks,2.42,0.5638406499939488,0.36449437298535603,22.571171059007035,0,-22.571171059007035,1105.9873818913447
2022-12-10,22200394.0,minnesota timberwolves,2.47,0.5067628968690034,0.25170435526643864,22.119747637826894,0,-22.119747637826894,1083.8676342535177
2022-12-17,22200442.0,milwaukee bucks,1.69,0.7188662620891837,0.2148839829307203,21.677352685070357,1,14.957373352698545,1098.8250076062163
2022-12-18,22200449.0,minnesota timberwolves,1.87,0.6734117018798499,0.2592798825153193,21.976500152124327,1,19.119555132348168,1117.9445627385644
2022-12-19,22200456.0,minnesota timberwolves,2.43,0.5887517905280171,0.43066685098308155,22.35889125477129,1,31.97321449432295,1149.9177772328874
2022-12-20,22200462.0,miami heat,1.72,0.7054350010030858,0.21334820172530744,22.99835554465775,0,-22.99835554465775,1126.9194216882297
2022-12-21,22200471.0,new york knicks,1.64,0.7870993965848717,0.29084301039918947,22.538388433764595,0,-22.538388433764595,1104.3810332544651
